M,N,K,Tile Size,Average Power Usage (W)
512,512,512,1,32.038
512,512,512,4,32.407
512,512,512,8,32.157
512,512,512,16,33.268
512,512,512,32,33.331
512,512,1024,1,35.319
512,512,1024,4,34.347
512,512,1024,8,33.493
512,512,1024,16,33.561
512,512,1024,32,33.484
512,512,2048,1,42.954
512,512,2048,4,45.234
512,512,2048,8,33.846
512,512,2048,16,33.981
512,512,2048,32,33.902
512,1024,512,1,36.357
512,1024,512,4,34.913
512,1024,512,8,33.868
512,1024,512,16,33.934
512,1024,512,32,33.988
512,1024,1024,1,42.926
512,1024,1024,4,49.521
512,1024,1024,8,41.245
512,1024,1024,16,34.850
512,1024,1024,32,34.745
512,1024,2048,1,49.940
512,1024,2048,4,52.305
512,1024,2048,8,40.741
512,1024,2048,16,35.081
512,1024,2048,32,35.090
512,2048,512,1,44.691
512,2048,512,4,46.518
512,2048,512,8,38.693
512,2048,512,16,34.697
512,2048,512,32,34.829
512,2048,1024,1,50.180
512,2048,1024,4,51.371
512,2048,1024,8,41.732
512,2048,1024,16,35.314
512,2048,1024,32,35.189
512,2048,2048,1,62.919
512,2048,2048,4,51.219
512,2048,2048,8,36.741
512,2048,2048,16,35.677
512,2048,2048,32,35.425
1024,512,512,1,37.369
1024,512,512,4,37.040
1024,512,512,8,35.458
1024,512,512,16,35.338
1024,512,512,32,35.422
1024,512,1024,1,45.315
1024,512,1024,4,52.811
1024,512,1024,8,44.249
1024,512,1024,16,36.361
1024,512,1024,32,35.602
1024,512,2048,1,51.579
1024,512,2048,4,52.683
1024,512,2048,8,39.524
1024,512,2048,16,35.688
1024,512,2048,32,35.638
1024,1024,512,1,41.450
1024,1024,512,4,48.937
1024,1024,512,8,39.533
1024,1024,512,16,35.823
1024,1024,512,32,35.870
1024,1024,1024,1,51.646
1024,1024,1024,4,50.564
1024,1024,1024,8,37.978
1024,1024,1024,16,36.214
1024,1024,1024,32,35.993
1024,1024,2048,1,63.043
1024,1024,2048,4,61.060
1024,1024,2048,8,37.713
1024,1024,2048,16,36.426
1024,1024,2048,32,36.123
1024,2048,512,1,51.601
1024,2048,512,4,53.597
1024,2048,512,8,36.925
1024,2048,512,16,36.170
1024,2048,512,32,35.975
1024,2048,1024,1,64.670
1024,2048,1024,4,57.065
1024,2048,1024,8,37.267
1024,2048,1024,16,36.495
1024,2048,1024,32,36.406
1024,2048,2048,1,74.869
1024,2048,2048,4,60.918
1024,2048,2048,8,37.764
1024,2048,2048,16,36.737
1024,2048,2048,32,36.859
2048,512,512,1,43.115
2048,512,512,4,41.942
2048,512,512,8,36.395
2048,512,512,16,36.469
2048,512,512,32,36.549
2048,512,1024,1,52.135
2048,512,1024,4,55.095
2048,512,1024,8,42.534
2048,512,1024,16,36.752
2048,512,1024,32,36.921
2048,512,2048,1,64.669
2048,512,2048,4,63.728
2048,512,2048,8,42.324
2048,512,2048,16,37.306
2048,512,2048,32,37.240
2048,1024,512,1,54.898
2048,1024,512,4,51.641
2048,1024,512,8,37.752
2048,1024,512,16,37.106
2048,1024,512,32,37.132
2048,1024,1024,1,68.338
2048,1024,1024,4,66.359
2048,1024,1024,8,41.215
2048,1024,1024,16,37.895
2048,1024,1024,32,37.126
2048,1024,2048,1,80.664
2048,1024,2048,4,72.172
2048,1024,2048,8,44.811
2048,1024,2048,16,37.635
2048,1024,2048,32,37.415
2048,2048,512,1,64.219
2048,2048,512,4,55.315
2048,2048,512,8,36.838
2048,2048,512,16,36.113
2048,2048,512,32,35.962
2048,2048,1024,1,75.722
2048,2048,1024,4,66.619
2048,2048,1024,8,41.804
2048,2048,1024,16,36.250
2048,2048,1024,32,35.130
2048,2048,2048,1,92.256
2048,2048,2048,4,60.382
2048,2048,2048,8,36.779
2048,2048,2048,16,35.993
2048,2048,2048,32,35.558
